key;value;original
преследов;преслѣдов;преслѣдовать
пресн;прѣсн;прѣсный
прет;прѣт;прѣть
привет;привѣт;привѣт
примечан;примѣчан;примѣчание
пробег;пробѣг;пробѣг
прорех;прорѣх;прорѣха
просвещен;просвѣщен;просвѣщение
просек;просѣк;просѣка
пятилетк;пятилѣтк;пятилѣтка
равновес;равновѣс;равновѣсие
разбег;разбѣг;разбѣг
растелеш;растѣлеш;растѣлешиться
редк;рѣдк;рѣдкий
редьк;рѣдьк;рѣдька
рез;рѣз;рѣзать
резв;рѣзв;рѣзвый
рек;рѣк;рѣка
реп;рѣп;рѣпа
репиц;рѣпиц;рѣпица
ресниц;рѣсниц;рѣсница
реч;рѣч;рѣчь
реш;рѣш;рѣшать
решет;рѣшет;рѣшето
решетк;рѣшетк;рѣшётка
рея;рѣя;рѣять
ротоз;ротоз;ротозѣй
свеж;свѣж;свѣжий
свежет;свежѣт;свѣжѣть
свет;свѣт;свѣт
светелк;свѣтелк;свѣтёлка
светец;свѣтец;свѣтец
светла;свѣтла;Свѣтлана
свеч;свѣч;свѣча
свидетел;свидѣтел;свидѣтель
свирел;свирѣл;свирѣль
свиреп;свирѣп;свирѣпый
север;сѣвер;сѣвер
сед;сѣд;сѣдой
седл;сѣдл;сѣдло
сек;сѣк;сѣку
сем;сѣм;сѣмя
сен;сѣн;сѣнь
сер;сѣр;сѣрый
сест;сѣст;сѣсть
сет;сѣт;сѣть
сетк;сѣтк;сѣтка
сетов;сѣтов;сѣтовать
сеч;сѣч;сѣчь
сечен;сѣчен;сѣчение
сея;сѣя;сѣять
сидет;сидѣт;сидѣть
след;слѣд;слѣд
следоп;слѣдоп;слѣдопыт
слеп;слѣп;слѣпой
слепок;слѣпок;слѣпок
смел;смѣл;смѣлый
смет;смѣт;смѣта
смех;смѣх;смѣх
смея;смѣя;смѣяться
снег;снѣг;снѣг
снед;снѣд;снѣдь
снежн;снѣжн;снѣжный
совершеннолет;совершеннолѣт;совершеннолѣтие
совет;совѣт;совѣт
созрет;созрѣт;созрѣть
сомнев;сомнѣв;сомнѣваться
сомнен;сомнѣн;сомнѣние
сосед;сосѣд;сосѣд
спет;спѣт;спѣть
спех;спѣх;спѣх
спеш;спѣш;спѣшить
сретен;срѣтен;срѣтение
стен;стѣн;стѣна
стенгазет;стѣнгазет;стѣнгазета
стесня;стѣсня;стѣснять
стрел;стрѣл;стрѣла
стреля;стрѣля;стрѣлять
